ก.	k-@@-z^-0|
ประทับใจ	pr-a-z^-1|th-a-p^-3|c-a-j^-0|
ประทาน	pr-a-z^-1|th-aa-n^-0|
ประทุษร้าย	pr-a-z^-1|th-u-t^-3|s-a-z^-1|r-aa-j^-3|
ประท้วง	pr-a-z^-1|th-uua-ng^-3|
ประธาน	pr-a-z^-1|th-aa-n^-0|
ประธานาธิบดี	pr-a-z^-1|th-aa-z^-0|n-aa-z^-0|th-i-p^-3|b-@@-z^-0|d-ii-z^-0|
ประธานาธิบดี	pr-a-z^-1|th-aa-z^-0|n-aa-z^-0|th-i-p^-3|b-@@-z^0|d-ii-z^-0|
ประธานาธิบดี	pr-a-z^-1|th-aa-z^-0|n-aa-z^-0|th-i-z^-3|b-@@-z^-0|d-ii-z^-0|
ประนีประนอม	pr-a-z^-1|n-ii-z^-0|pr-a-z^-1|n-@@-m^-0|
ประปา	pr-a-z^-1|p-aa-z^-0|
ประพฤติ	pr-a-z^-1|phr-v-t^-3|
ประพันธ์	pr-a-z^-1|ph-a-n^-0|
ประพาส	pr-a-z^-1|ph-aa-t^-2|
ประมง	pr-a-z^-1|m-o-ng^-0|
ประมวล	pr-a-z^-1|m-uua-n^-0|
ประมวลผล	pr-a-z^-1|m-uua-n^-0|ph-o-n^-4|
ประมาณ	pr-a-z^-1|m-aa-n^-0|
ประมาท	pr-a-z^-1|m-aa-t^-1|
ประมุข	pr-a-z^-1|m-u-k^-1|
ประมุข	pr-a-z^-1|m-u-k^-3|
ประมูล	pr-a-z^-1|m-uu-n^-0|
ประยุกต์	pr-a-z^-1|j-u-k^-1|
ประยุกต์	pr-a-z^-1|j-u-k^-3|
ประวัติ	pr-a-z^-1|w-a-t^-1|
ประวัติการณ์	pr-a-z^-1|w-a-t^-1|k-aa-n^-0|
ประวัติศาสตร์	pr-a-z^-1|w-a-t^-1|s-aa-t^-1|
ประสงค์	pr-a-z^-1|s-o-ng^-4|
ประสบ	pr-a-z^-1|s-o-p^-1|
ประสบการณ์	pr-a-z^-1|s-o-p^-1|k-aa-n^-0|
ประสม	pr-a-z^-1|s-o-m^-4|
ประสาท	pr-a-z^-1|s-aa-t^-1|
ประสาน	pr-a-z^-1|s-aa-n^-4|
ประสิทธิผล	pr-a-z^-1|s-i-t^-1|th-i-z^-3|ph-o-n^-4|
ประสิทธิภาพ	pr-a-z^-1|s-i-t^-1|th-i-z^-3|ph-aa-p^-2|
ประหยัด	pr-a-z^-1|j-a-t^-1|
ประหลาด	pr-a-z^-1|l-aa-t^-1|
ประหัตประหาร	pr-a-z^-1|h-a-t^-1|pr-a-z^-1|h-aa-n^-4|
ประเด็น	pr-a-z^-1|d-e-n^-0|
ประเทศ	pr-a-z^-1|th-ee-t^-2|
ประเทศราช	pr-a-z^-1|th-ee-t^-2|s-a-z^-1|r-aa-t^-2|
ประเพณี	pr-a-z^-1|ph-ee-z^-0|n-ii-z^-0|
ประเภท	pr-a-z^-1|ph-ee-t^-2|
ประเมิน	pr-a-z^-1|m-qq-n^-0|
ประเสริฐ	pr-a-z^-1|s-qq-t^-1|
ประโยค	pr-a-z^-1|j-oo-k^-1|
ประโยชน์	pr-a-z^-1|j-oo-t^-1|
ปรัชญา	pr-a-t^-1|j-aa-z^-0|
ปรับ	pr-a-p^-1|
ปรับปรุง	pr-a-p^-1|pr-u-ng^-0|
ปรากฏ	pr-aa-z^-0|k-o-t^-1|
ปรากฏการณ์	pr-aa-z^-0|k-o-t^-1|t-a-z^-1|k-aa-n^-0|
ปรากฏการณ์	pr-aa-z^-1|k-o-t^-1|t-a-z^-1|k-aa-n^-0|
ปราจีนบุรี	pr-aa-z^-0|c-ii-n^-0|b-u-z^-1|r-ii-z^-0|
ปราบ	pr-aa-p^-1|
ปราบปราม	pr-aa-p^-1|pr-aa-m^-0|
ปรารถนา	pr-aa-t^-1|th-a-z^-1|n-aa-z^-4|
ปราศจาก	pr-aa-t^-1|s-a-z^-1|c-aa-k^-1|
ปราศรัย	pr-aa-z^-0|s-a-j^-4|
ปราสาท	pr-aa-z^-0|s-aa-t^-1|
ปราโมช	pr-aa-z^-0|m-oo-t^-2|
ปราโมทย์	pr-aa-z^-0|m-oo-t^-2|
ปริจเฉท	p-a-z^-1|r-i-t^-3|ch-ee-t^-1|
ปริญญา	p-a-z^-1|r-i-n^-0|j-aa-z^-0|
ปริญญาตรี	p-a-z^-1|r-i-n^-0|j-aa-z^-0|tr-ii-z^-0|
ปริตตา	p-a-z^-1|r-i-t^-3|t-aa-z^-0|
ปริมณฑล	p-a-z^-1|r-i-z^-3|m-o-n^-0|th-o-n^-0|
ปริมาณ	p-a-z^-1|r-i-z^-3|m-aa-n^-0|
ปริยาย	p-a-z^-1|r-i-z^-3|j-aa-j^-0|
ปรีชา	pr-ii-z^-0|ch-aa-z^-0|
ปรีดา	pr-ii-z^-0|d-aa-z^-0|
ปรึกษา	pr-v-k^-1|s-aa-z^-4|
ปรุงแต่ง	pr-u-ng^-0|t-x-ng^-1|
ปลด	pl-o-t^-1|
ปลดเปลื้อง	pl-o-t^-1|pl-vva-ng^-2|
ปลอด	pl-@@-t^-1|
ปลอดภัย	pl-@@-t^-1|ph-a-j^-0|
ปลอม	pl-@@-m^-0|
ปลัด	p-a-z^-1|l-a-t^-1|
ปลา	pl-aa-z^-0|
ปลาย	pl-aa-j^-0|
ปลุก	pl-u-k^-1|
ปลูก	pl-uu-k^-1|
ปลูกฝัง	pl-uu-k^-1|f-a-ng^-4|
ปล่อย	pl-@-j^-1|
ปล่อยตัว	pl-@-j^-1|t-uua-z^-0|
ปวงชน	p-uua-ng^-0|ch-o-n^-0|
ปวด	p-uua-t^-1|
ปะปน	p-a-z^-1|p-o-n^-0|
ปะลิศ	p-a-z^-1|l-i-t^-3|
ปัจจัย	p-a-t^-1|c-a-j^-0|
ปัจจุบัน	p-a-t^-1|c-u-z^-1|b-a-n^-0|
ปัจจุบันนี้	p-a-t^-1|c-u-z^-1|b-a-n^-0|n-ii-z^-3|
ปัจเจกชน	p-a-t^-1|c-ee-k^-1|ch-o-n^-0|
ปัญญา	p-a-n^-0|j-aa-z^-0|
ปัญญาชน	p-a-n^-0|j-aa-z^-0|ch-o-n^-0|
ปัญญาอ่อน	p-a-n^-0|j-aa-z^-0|z-@@-n^-1|
ปัญหา	p-a-n^-0|h-aa-z^-4|
ปัดเป่า	p-a-t^-1|p-a-w^-1|
ปัน	p-a-n^-0|
ปันผล	p-a-n^-0|ph-o-n^-4|
ปันยารชุน	p-a-n^-0|j-aa-z^-0|r-a-z^-3|ch-u-n^-0|
ปั่นป่วน	p-a-n^-1|p-uua-n^-1|
ปั้น	p-a-n^-2|
ปาก	p-aa-k^-1|
ปากท้อง	p-aa-k^-1|th-@@-ng^-3|
ปานกลาง	p-aa-n^-0|kl-aa-ng^-0|
ปารุสกวัน	p-aa-z^-0|r-u-t^-3|s-a-z^-1|k-a-z^-1|w-a-n^-0|
ปาสคาล	p-aa-s^-3|kh-aa-l^-0|
ปิด	p-i-t^-1|
ปิดกั้น	p-i-t^-1|k-a-n^-2|
ปิดบัง	p-i-t^-1|b-a-ng^-0|
ปี	p-ii-z^-0|
ปีก	p-ii-k^-1|
ปีติ	p-ii-z^-0|t-i-z^-1|
ปีเตอร์ลินช์	p-ii-z^-0|t-qq-z^-2|l-i-n^-0|
ปี่	p-ii-z^-1|
ปึกแผ่น	p-v-k^-1|ph-x-n^-1|
ปืน	p-vv-n^-0|
ปืนกล	p-vv-n^-0|k-o-n^-0|
ปุถุชน	p-u-z^-1|th-u-z^-1|ch-o-n^-0|
ปุ่ม	p-u-m^-1|
ปุ๋ย	p-u-j^-4|
ปู	p-uu-z^-0|
ปู่	p-uu-z^-1|
ป่น	p-o-n^-1|
ป่วน	p-uua-n^-1|
ป่วย	p-uua-j^-1|
ป่า	p-aa-z^-1|
ป่าช้า	p-aa-z^-1|ch-aa-z^-3|
ป่านนี้	p-aa-n^-1|n-ii-z^-3|
ป่าสงวน	p-aa-z^-1|s-a-z^-1|ng-uua-n^-4|
ป่าไม้	p-aa-z^-1|m-a-j^-3|
ป่าไม้	p-aa-z^-1|m-aa-j^-3|
ป้องกัน	p-@-ng^-2|k-a-n^-0|
ป้อน	p-@@-n^-2|
ป้อม	p-@-m^-2|
ป้าย	p-aa-j^-2|
ป๋วย	p-uua-j^-4|
ผกผัน	ph-o-k^-1|ph-a-n^-4|
ผจญภัย	ph-a-z^-1|c-o-n^-0|ph-a-j^-0|
ผนวก	ph-a-z^-1|n-uua-k^-1|
ผนึก	ph-a-z^-1|n-v-k^-1|
ผม	ph-o-m^-4|
ผล	ph-o-n^-4|
ผลกรรม	ph-o-n^-4|k-a-m^-0|
ผลกระทบ	ph-o-n^-4|kr-a-z^-1|th-o-p^-3|
ผลงาน	ph-o-n^-4|ng-aa-n^-0|
ผลดี	ph-o-n^-4|d-ii-z^-0|
ผลประโยชน์	ph-o-n^-4|pr-a-z^-1|j-oo-t^-1|
ผลผลิต	ph-o-n^-4|ph-a-z^-1|l-i-t^-1|
ผลลัพธ์	ph-o-n^-4|l-a-p^-3|
ผลัก	phl-a-k^-1|
ผลักดัน	phl-a-k^-1|d-a-n^-0|
ผลัดเปลี่ยน	phl-a-t^-1|pl-iia-n^-1|
ผลิต	ph-a-z^-1|l-i-t^-1|
ผลิตผล	ph-a-z^-1|l-i-t^-1|t-a-z^-1|ph-o-n^-4|
ผลิตภัณฑ์	ph-a-z^-1|l-i-t^-1|t-a-z^-1|ph-a-n^-0|
ผลเสีย	ph-o-n^-4|s-iia-z^-4|
ผลไม้	ph-o-n^-4|l-a-z^-3|m-aa-j^-3|
ผสม	ph-a-z^-1|s-o-m^-4|
ผสมผสาน	ph-a-z^-1|s-o-m^-4|ph-a-z^-1|s-aa-n^-4|
ผัง	ph-a-ng^-4|
ผังเมือง	ph-a-ng^-4|m-vva-ng^-0|
ผัน	ph-a-n^-4|
ผันผวน	ph-a-n^-4|ph-uua-n^-4|
ผันแปร	ph-a-n^-4|pr-xx-z^-0|
ผัว	ph-uua-z^-4|
ผาสุก	ph-aa-z^-4|s-u-k^-1|
ผิด	ph-i-t^-1|
ผิดปกติ	ph-i-t^-1|p-o-k^-1|k-a-z^-1|t-i-z^-1|
ผิดพลาด	ph-i-t^-1|phl-aa-t^-2|
ผิดหวัง	ph-i-t^-1|w-a-ng^-4|
ผิดแผก	ph-i-t^-1|ph-xx-k^-1|
ผิน	ph-i-n^-4|
ผิว	ph-i-w^-4|
ผิวหนัง	ph-i-w^-4|n-a-ng^-4|
ผี	ph-ii-z^-4|
ผีสาง	ph-ii-z^-4|s-aa-ng^-4|
ผึ้ง	ph-v-ng^-2|
ผืน	ph-vv-n^-4|
ผืนผ้า	ph-vv-n^-4|ph-aa-z^-2|
ผุด	ph-u-t^-1|
ผูกขาด	ph-uu-k^-1|kh-aa-t^-1|
ผูกพัน	ph-uu-k^-1|ph-a-n^-0|
ผู้	ph-uu-z^-2|
ผู้ก่อการ	ph-uu-z^-2|k-@@-z^-1|k-aa-n^-0|
ผู้คน	ph-uu-z^-2|kh-o-n^-0|
ผู้ชาย	ph-uu-z^-2|ch-aa-j^-0|
ผู้ช่วย	ph-uu-z^-2|ch-uua-j^-2|
ผู้นำ	ph-uu-z^-2|n-a-m^-0|
ผู้น้อย	ph-uu-z^-2|n-@@-j^-3|
ผู้บริหาร	ph-uu-z^-2|b-@@-z^-0|r-i-z^-3|h-aa-n^-4|
ผู้บริโภค	ph-uu-z^-2|b-@@-z^-0|r-i-z^-3|ph-oo-k^-2|
ผู้บังคับบัญชา	ph-uu-z^-2|b-a-ng^-0|kh-a-p^-3|b-a-n^-0|ch-aa-z^-0|
ผู้บัญชาการ	ph-uu-z^-2|b-a-n^-0|ch-aa-z^-0|k-aa-n^-0|
ผู้ปฏิบัติงาน	ph-uu-z^-2|p-a-z^-1|t-i-z^-1|b-a-t^-1|ng-aa-n^-0|
ผู้ปฏิวัติ	ph-uu-z^-2|p-a-z^-1|t-i-z^-1|w-a-t^-3|
ผู้ประกอบการ	ph-uu-z^-2|pr-a-z^-1|k-@@-p^-1|k-aa-n^-0|
ผู้ป่วย	ph-uu-z^-2|p-uua-j^-1|
ผู้ผลิต	ph-uu-z^-2|ph-a-z^-1|l-i-t^-1|
ผู้พิพากษา	ph-uu-z^-2|ph-i-z^-3|ph-aa-k^-2|s-aa-z^-4|
ผู้ฟัง	ph-uu-z^-2|f-a-ng^-0|
ผู้มีอิทธิพล	ph-uu-z^-2|m-ii-z^-0|z-i-t^-1|th-i-z^-3|ph-o-n^-0|
ผู้รับผิดชอบ	ph-uu-z^-2|r-a-p^-3|ph-i-t^-1|ch-@@-p^-2|
ผู้รู้	ph-uu-z^-2|r-uu-z^-3|
ผู้ร้าย	ph-uu-z^-2|r-aa-j^-3|
ผู้ว่า	ph-uu-z^-2|w-aa-z^-2|
ผู้ว่าการ	ph-uu-z^-2|w-aa-z^-2|k-aa-n^-0|
ผู้ว่าราชการ	ph-uu-z^-2|w-aa-z^-2|r-aa-t^-2|ch-a-z^-3|k-aa-n^-0|
ผู้สนับสนุน	ph-uu-z^-2|s-a-z^-1|n-a-p^-1|s-a-z^-1|n-u-n^-4|
ผู้สมัคร	ph-uu-z^-2|s-a-z^-1|m-a-k^-1|
ผู้สร้าง	ph-uu-z^-2|s-aa-ng^-2|
ผู้สอน	ph-uu-z^-2|s-@@-n^-4|
ผู้สื่อข่าว	ph-uu-z^-2|s-vv-z^-1|kh-aa-w^-1|
ผู้หญิง	ph-uu-z^-2|j-i-ng^-4|
ผู้อำนวยการ	ph-uu-z^-2|z-a-m^-0|n-uua-j^-0|k-aa-n^-0|
ผู้อื่น	ph-uu-z^-2|z-vv-n^-1|
ผู้อ่าน	ph-uu-z^-2|z-aa-n^-1|
ผู้เขียน	ph-uu-z^-2|kh-iia-n^-4|
ผู้เข้าร่วม	ph-uu-z^-2|kh-a-w^-2|r-uua-m^-2|
ผู้เช่า	ph-uu-z^-2|ch-a-w^-2|
ผู้เรียน	ph-uu-z^-2|r-iia-n^-0|
ผู้แทน	ph-uu-z^-2|th-xx-n^-0|
ผู้โดยสาร	ph-uu-z^-2|d-oo-j^-0|s-aa-n^-4|
ผู้ใช้	ph-uu-z^-2|ch-a-j^-3|
ผู้ใช้แรงงาน	ph-uu-z^-2|ch-a-j^-3|r-xx-ng^-0|ng-aa-n^-0|
ผู้ใด	ph-uu-z^-2|d-a-j^-0|
ผู้ใหญ่	ph-uu-z^-2|j-a-j^-1|
ผู้ให้	ph-uu-z^-2|h-a-j^-2|
ผ่อน	ph-@@-n^-1|
ผ่อนคลาย	ph-@-n^-1|khl-aa-j^-0|
ผ่อนปรน	ph-@-n^-1|pr-o-n^-0|
ผ่าตัด	ph-aa-z^-1|t-a-t^-1|
ผ่าน	ph-aa-n^-1|
ผ้า	ph-aa-z^-2|
ฝน	f-o-n^-4|
ฝรั่งเศส	f-a-z^-3|r-a-ng^-1|s-ee-t^-1|
ฝักใฝ่	f-a-k^-1|f-a-j^-1|
ฝัง	f-a-ng^-4|
ฝัน	f-a-n^-4|
ฝันเฟื่อง	f-a-n^-4|f-vva-ng^-2|
ฝั่ง	f-a-ng^-1|
ฝา	f-aa-z^-4|
ฝาก	f-aa-k^-1|
ฝาผนัง	f-aa-z^-4|ph-a-z^-1|n-a-ng^-4|
ฝิ่น	f-i-n^-1|
ฝีมือ	f-ii-z^-4|m-vv-z^-0|
ฝึก	f-v-k^-1|
ฝึกฝน	f-v-k^-1|f-o-n^-4|
ฝึกอบรม	f-v-k^-1|z-o-p^-1|r-o-m^-0|
ฝืดเคือง	f-vv-t^-1|kh-vva-ng^-0|
ฝุ่น	f-u-n^-1|
ฝ่า	f-aa-z^-1|
ฝ่าฝืน	f-aa-z^-1|f-vv-n^-4|
ฝ่าย	f-aa-j^-1|
ฝ่ายค้าน	f-aa-j^-1|kh-aa-n^-3|
พ.ร.บ.	ph-@@-z^-0|r-@@-z^-0|b-@@-z^-0|
พงศาวดาร	ph-o-ng^-0|s-aa-z^-4|w-a-z^-3|d-aa-n^-0|
พงษ์พานิช	ph-o-ng^-0|ph-aa-z^-0|n-i-t^-3|
พจนา	ph-o-t^-3|c-a-z^-1|n-aa-z^-0|
พนักงาน	ph-a-z^-3|n-a-k^-3|ng-aa-n^-0|
พบ	ph-o-p^-3|
พบปะ	ph-o-p^-3|p-a-z^-1|
พยัญชนะ	ph-a-z^-3|j-a-n^-0|ch-a-z^-3|n-a-z^-3|
พยากรณ์	ph-a-z^-3|j-aa-z^-0|k-@@-n^-0|
พยาธิ	ph-a-z^-3|j-aa-t^-2|
พยาบาล	ph-a-z^-3|j-aa-z^-0|b-aa-n^-0|
พยายาม	ph-a-z^-3|j-aa-z^-0|j-aa-m^-0|
พยุง	ph-a-z^-3|j-u-ng^-0|
พรมแดน	phr-o-m^-0|d-xx-n^-0|
พรรค	ph-a-k^-3|
พรรคพวก	ph-a-k^-3|ph-uua-k^-2|
พรรณนา	ph-a-n^-0|n-a-z^-3|n-aa-z^-0|
พรสวรรค์	ph-@@-n^-0|s-a-z^-1|w-a-n^-4|
พรหมสูตร	phr-o-m^-0|m-a-z^-3|s-uu-t^-1|
พระ	phr-a-z^-3|
พระจันทร์	phr-a-z^-3|c-a-n^-0|
พระจุลจอมเกล้า	phr-a-z^-3|c-u-n^-0|l-a-z^-3|c-@@-m^-0|kl-aa-w^-2|
พระที่นั่ง	phr-a-z^-3|th-ii-z^-2|n-a-ng^-2|
พระธรรมศาสตร์	phr-a-z^-3|th-a-m^-0|m-a-z^-3|s-aa-t^-1|
พระบรมราชโองการ	phr-a-z^-3|b-@@-z^-0|r-o-m^-0|m-a-z^-3|r-aa-t^-2|ch-a-z^-3|z-oo-ng^-0|k-aa-n^-0|
พระบรมรูป	phr-a-z^-3|b-@@-z^-0|r-o-m^-0|m-a-z^-3|r-uu-p^-2|
พระบาท	phr-a-z^-3|b-aa-t^-1|
พระบาทสมเด็จ	phr-a-z^-3|b-aa-t^-1|s-o-m^-4|d-e-t^-1|
พระผู้มีพระภาคเจ้า	phr-a-z^-3|ph-uu-z^-2|m-ii-z^-0|phr-a-z^-3|ph-aa-k^-2|c-aa-w^-2|
พระพุทธรูป	phr-a-z^-3|ph-u-t^-3|th-a-z^-3|r-uu-p^-2|
พระพุทธศาสนา	phr-a-z^-3|ph-u-t^-3|th-a-z^-3|s-aa-t^-1|s-a-z^-1|n-aa-z^-4|
พระพุทธองค์	phr-a-z^-3|ph-u-t^-3|th-a-z^-3|z-o-ng^-0|
พระพุทธเจ้า	phr-a-z^-3|ph-u-t^-3|th-a-z^-3|c-a-w^-2|
พระพุทธเจ้า	phr-a-z^-3|ph-u-t^-3|th-a-z^-3|c-aa-w^-2|
พระภิกษุ	phr-a-z^-3|ph-i-k^-3|s-u-z^-1|
พระมหากษัตริย์	phr-a-z^-3|m-a-z^-3|h-aa-z^-4|k-a-z^-1|s-a-t^-1|
พระยา	phr-a-z^-3|j-aa-z^-0|
พระราชดำรัส	phr-a-z^-3|r-aa-t^-2|ch-a-z^-3|d-a-m^-0|r-a-t^-1|
พระราชดำริ	phr-a-z^-3|r-aa-t^-2|ch-a-z^-3|d-a-m^-0|r-i-z^-1|
พระราชทาน	phr-a-z^-3|r-aa-t^-2|ch-a-z^-3|th-aa-n^-0|
พระราชบัญญัติ	phr-a-z^-3|r-aa-t^-2|ch-a-z^-3|b-a-n^-0|j-a-t^-1|
พระราชพิธี	phr-a-z^-3|r-aa-t^-2|ch-a-z^-3|ph-i-z^-3|th-ii-z^-0|
พระราชวัง	phr-a-z^-3|r-aa-t^-2|ch-a-z^-3|w-a-ng^-0|
พระราชวินิจฉัย	phr-a-z^-3|r-aa-t^-2|ch-a-z^-3|w-i-z^-3|n-i-t^-3|ch-a-j^-4|
พระราชอำนาจ	phr-a-z^-3|r-aa-t^-2|ch-a-z^-3|z-a-m^-0|n-aa-t^-2|
พระราชาคณะ	phr-a-z^-3|r-aa-z^-0|ch-aa-z^-0|kh-a-z^-3|n-a-z^-3|
พระสงฆ์	phr-a-z^-3|s-o-ng^-4|
พระองค์	phr-a-z^-3|z-o-ng^-0|
พระอาทิตย์	phr-a-z^-3|z-aa-z^-0|th-i-t^-3|
พระเกียรติ	phr-a-z^-3|k-iia-t^-1|
พระเจ้า	phr-a-z^-3|c-a-w^-2|
พระเจ้า	phr-a-z^-3|c-aa-w^-2|
พระเจ้าอยู่หัว	phr-a-z^-3|c-aa-w^-2|j-uu-z^-1|h-uua-z^-4|
พระเชตุพน	phr-a-z^-3|ch-ee-z^-0|t-u-z^-1|ph-o-n^-0|
พระเยซู	phr-a-z^-3|j-ee-z^-0|s-uu-z^-0|
พระเยาว์	phr-a-z^-3|j-a-w^-0|
พระเวท	phr-a-z^-3|w-ee-t^-2|
พระเอก	phr-a-z^-3|z-ee-k^-1|
พราก	phr-aa-k^-2|
พราหมณ์	phr-aa-m^-0|
พริกไทย	phr-i-k^-3|th-a-j^-0|
พร้อม	phr-@@-m^-3|
พร้อมกัน	phr-@@-m^-3|k-a-n^-0|
พร้อมกับ	phr-@@-m^-3|k-a-p^-1|
พร้อมทั้ง	phr-@@-m^-3|th-a-ng^-3|
พร้อมใจ	phr-@@-m^-3|c-a-j^-0|
พฤติกรรม	phr-v-t^-3|t-i-z^-1|k-a-m^-0|
พฤติการณ์	phr-v-t^-3|t-i-z^-1|k-aa-n^-0|
พฤตินัย	phr-v-t^-3|t-i-z^-1|n-a-j^-0|
พฤศจิกายน	phr-v-t^-3|s-a-z^-1|c-i-z^-1|k-aa-z^-0|j-o-n^-0|
พฤษภาคม	phr-v-t^-3|s-a-z^-1|ph-aa-z^-0|kh-o-m^-0|
พฤหัสบดี	ph-a-z^-3|r-v-z^-3|h-a-t^-1|s-a-z^-1|b-@@-z^-0|d-ii-z^-0|
พล	ph-o-n^-0|
พลตรี	ph-o-n^-0|tr-ii-z^-0|
พลตำรวจ	ph-o-n^-0|t-a-m^-0|r-uua-t^-1|
พลตำรวจเอก	ph-o-n^-0|t-a-m^-0|r-uua-t^-1|z-ee-k^-1|
พลพรรค	ph-o-n^-0|l-a-z^-3|ph-a-k^-3|
พลวัตร	ph-o-n^-0|l-a-z^-3|w-a-t^-3|
พลสิน	ph-o-n^-0|s-i-n^-4|
พลอย	phl-@@-j^-0|
พลอากาศ	ph-o-n^-0|z-aa-z^-0|k-aa-t^-1|
พลอากาศเอก	ph-o-n^-0|z-aa-z^-0|k-aa-t^-1|z-ee-k^-1|
พละ	ph-a-z^-3|l-a-z^-3|
พละกำลัง	ph-a-z^-3|l-a-z^-3|k-a-m^-0|l-a-ng^-0|
พลัง	ph-a-z^-3|l-a-ng^-0|
พลังงาน	ph-a-z^-3|l-a-ng^-0|ng-aa-n^-0|
พลังน้ำ	ph-a-z^-3|l-a-ng^-0|n-aa-m^-3|
พลัดพราก	phl-a-t^-3|phr-aa-k^-2|
พลาง	phl-aa-ng^-0|
พลาด	phl-aa-t^-2|
พลานามัย	ph-a-z^-3|l-aa-z^-0|n-aa-z^-0|m-a-j^-0|
พลาสติก	phl-aa-s^-3|t-i-k^-1|
พลิก	phl-i-k^-3|
พลเมือง	ph-o-n^-0|l-a-z^-3|m-vva-ng^-0|
พลเรือน	ph-o-n^-0|l-a-z^-3|r-vva-n^-0|
พลเรือเอก	ph-o-n^-0|r-vva-z^-0|z-ee-k^-1|
พลเอก	ph-o-n^-0|z-ee-k^-1|
พวก	ph-uua-k^-2|
พวกเขา	ph-uua-k^-2|kh-a-w^-4|
พวกเรา	ph-uua-k^-2|r-a-w^-0|
พวง	ph-uua-ng^-0|
พวน	ph-uua-n^-0|
พอ	ph-@@-z^-0|
พอควร	ph-@@-z^-0|kh-uua-n^-0|
พอจะ	ph-@@-z^-0|c-a-z^-1|
พอดี	ph-@@-z^-0|d-ii-z^-0|
พอเพียง	ph-@@-z^-0|ph-iia-ng^-0|
พอใจ	ph-@@-z^-0|c-a-j^-0|
พะวง	ph-a-z^-3|w-o-ng^-0|
พัก	ph-a-k^-3|
พักผ่อน	ph-a-k^-3|ph-@-n^-1|
พัง	ph-a-ng^-0|
พังพอน	ph-a-ng^-0|ph-@@-n^-0|
พัฒนา	ph-a-t^-3|th-a-z^-3|n-aa-z^-0|
พัฒนาการ	ph-a-t^-3|th-a-z^-3|n-aa-z^-0|k-aa-n^-0|
พัด	ph-a-t^-3|
พัน	ph-a-n^-0|
พันธบัตร	ph-a-n^-0|th-a-z^-3|b-a-t^-1|
พันธมิตร	ph-a-n^-0|th-a-z^-3|m-i-t^-3|
พันธะ	ph-a-n^-0|th-a-z^-3|
พันธุกรรม	ph-a-n^-0|th-u-z^-3|k-a-m^-0|
พันธุวิศวกรรม	ph-a-n^-0|th-u-z^-3|w-i-t^-3|s-a-z^-1|w-a-z^-3|k-a-m^-0|
พันธุ์	p-a-n^-0|
พันธุ์	ph-a-n^-0|
พันเอก	ph-a-n^-0|z-ee-k^-1|
พันโท	ph-a-n^-0|th-oo-z^-0|
พับ	ph-a-p^-3|
พัวพัน	ph-uua-z^-0|ph-a-n^-0|
พา	ph-aa-z^-0|
พาณิชยกรรม	ph-aa-z^-0|n-i-t^-3|ch-a-z^-3|j-a-z^-3|k-a-m^-0|
พาณิชย์	ph-aa-z^-0|n-i-t^-3|
พาย	ph-aa-j^-0|
พายุ	ph-aa-z^-0|j-u-z^-3|
พาหะ	ph-aa-z^-0|h-a-z^-1|
พำนัก	ph-a-m^-0|n-a-k^-3|
พิการ	ph-i-z^-3|k-aa-n^-0|
พิจารณา	ph-i-z^-3|c-aa-z^-0|r-a-z^-3|n-aa-z^-0|
พิชิต	ph-i-z^-3|ch-i-t^-3|
พิทักษ์	ph-i-z^-3|th-a-k^-3|
พิธี	ph-i-z^-3|th-ii-z^-0|
พิธีกร	ph-i-z^-3|th-ii-z^-0|k-@@-n^-0|
พิธีกรรม	ph-i-z^-3|th-ii-z^-0|k-a-m^-0|
พิธีการ	ph-i-z^-3|th-ii-z^-0|k-aa-n^-0|
พิธีรีตอง	ph-i-z^-3|th-ii-z^-0|r-ii-z^-0|t-@@-ng^-0|
พินิจ	ph-i-z^-3|n-i-t^-3|
พิบูล	ph-i-z^-3|b-uu-n^-0|
พิบูลสงคราม	ph-i-z^-3|b-uu-n^-0|s-o-ng^-4|khr-aa-m^-0|
พิพัฒน์เสรีธรรม	ph-i-z^-3|ph-a-t^-3|s-ee-z^-4|r-ii-z^-0|th-a-m^-0|
พิพากษา	ph-i-z^-3|ph-aa-k^-2|s-aa-z^-4|
พิพาท	ph-i-z^-3|ph-aa-t^-2|
พิพิธภัณฑสถาน	ph-i-z^-3|ph-i-t^-3|th-a-z^-3|ph-a-n^-0|th-a-z^-3|s-a-z^-1|th-aa-n^-4|
พิพิธภัณฑ์	ph-i-z^-3|ph-i-t^-3|th-a-z^-3|ph-a-n^-0|
พิมพ์	ph-i-m^-0|
พิมพ์ดีด	ph-i-m^-0|d-ii-t^-1|
พิมพ์ใจ	ph-i-m^-0|c-a-j^-0|
พิษ	ph-i-t^-3|
พิษณุโลก	ph-i-t^-3|s-a-z^-1|n-u-z^-3|l-oo-k^-2|
พิสดาร	ph-i-t^-3|s-a-z^-1|d-aa-n^-0|
พิสัย	ph-i-z^-3|s-a-j^-4|
พิสูจน์	ph-i-z^-3|s-uu-t^-1|
พิเคราะห์	ph-i-z^-3|khr-@-z^-3|
พิเศษ	ph-i-z^-3|s-ee-t^-1|
พี	ph-ii-z^-0|
พีระศรี	ph-ii-z^-0|r-a-z^-3|s-ii-z^-4|
พี่	ph-ii-z^-2|
พี่เลี้ยง	ph-ii-z^-2|l-iia-ng^-3|
พึง	ph-v-ng^-0|
